mbti_profile,Title,Plot
Summer Finn,500 Days of Summer,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
Casey Cooke,Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Mia Dolan,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Gil,Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
Olive Penderghast,Easy A,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Lee Chandler,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Andrew Martin,Bicentennial Man,An android endeavors to become human as he gradually acquires emotions.
Lady,Lady and the Tramp,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
Mae Holland,The Circle,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
Tyler Durden,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Jillian Holtzmann,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
Forrest Gump,Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood swe..."
"Andrew ""Ender"" Wiggin",Ender's Game,"Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind."
Valerian,Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the ..."
Phoebe Larson,American Ultra,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.
Light Turner,Death Note,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
Elizabeth Bennet,Pride and Prejudice,"Jane Austen's classic is transplanted to modern-day Utah. While her college roommates search for love, aspiring writer Elizabeth Bennet focuses on her career but constantly finds herself fighting haughty businessman Will Darcy."
Richard ''Richie'' Tozier,It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Neytiri,Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Mia Wallace,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Thomas Sharpe,Crimson Peak,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathe..."
Andy Dufresne,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Karen Smith,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
John Coffey,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Maximus Decimus Meridius,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
George Bailey,It's a Wonderful Life,"A big family faces many life problems, and everyone tries best to find love and happiness in the new year."
Hazel Grace Lancaster,The Fault in Our Stars,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
Hercule Poirot,Murder on the Orient Express,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
Holland March,The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
Dracula,Bram Stoker's Dracula,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
Truman Burbank,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.
Ray,3 Generations,"After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent."
Diane Selwyn,Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
"Christine ""Lady Bird"" McPherson",Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
Selma Jezkova,Dancer in the Dark,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
Wanderer,The Host,"When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie Stryder risks everything to protect the people she cares about."
Sonny,"I, Robot","In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
"Alfred Borden ""The Professor""",The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Miles “Baby”,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Teddy Daniels,Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Paul Blart,Paul Blart: Mall Cop,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day."
Charlie Kelmeckis,The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
Mike McDermott,Rounders,"A young, reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school."
Lucie Jurin,Martyrs,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity."
Mademoiselle,Martyrs,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity."
Donnie Darko,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Ramona Flowers,Scott Pilgrim vs. the World,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart."
Elisa Esposito,The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Neil McCauley,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
Bob Harris,Lost in Translation,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
Dean Corso,The Ninth Gate,"A rare book dealer, while seeking out the last two copies of a demon text, gets drawn into a conspiracy with supernatural overtones."
Vinz,La Haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Will Hunting,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Chris Washington,Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Ricky Fitts,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
John Constantine,Constantine,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
John Doe,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Dewey Finn,School of Rock,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
Hans Landa,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Amélie Poulain,Amélie,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Justine,Melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.
"Wade Watts ""Parzival""",Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
Theodore Twombly,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Guido Orefice,Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Nina Sayers / The Swan Queen,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
Amy Elliott Dunne,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Ada McGrath,The Piano,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
Patrick Bateman,American Psycho,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Max Cady,Cape Fear,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
Mort Rainey,Secret Window,A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.
Lena,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Van Wilder,Van Wilder,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.
Noah Calhoun,The Notebook,"A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams), giving her a sense of freedom, but they are soon separated because of their social differences."
Jessie Burlingame,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free."
Frank Farmer,The Bodyguard,"A former Secret Service agent takes on the job of bodyguard to an R&amp;B singer, whose lifestyle is most unlike a President's."
Leonard Shelby,Memento,A man with short-term memory loss attempts to track down his wife's murderer.
Penny Lane,Almost Famous,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
Clyde Shelton,Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.
Nancy Downs,The Craft,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them."
"Benjamin Franklin ""Ben"" Gates",National Treasure,A historian races to find the legendary Templar Treasure before a team of mercenaries.
Lola,Run Lola Run,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
"August ""Auggie"" Pullman",Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the..."
Juno MacGuff,Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child."
Miranda Priestly,The Devil Wears Prada,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Sofi,I Origins,A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.
Bianca Piper,The DUFF,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts."
Izzy,The Fountain,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Anna Karenina,Anna Karenina,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky."
Noelle,It's Kind of a Funny Story,A clinically-depressed teenager gets a new start after he checks himself into an adult psychiatric ward.
Terence Fletcher,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Kayla Day,Eighth Grade,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.
Edmund Exley,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Elle Woods,Legally Blonde,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks."
Kat Stratford,10 Things I Hate About You,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
Kirk Lazarus,Tropic Thunder,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
Newt Geiszler,Pacific Rim,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
Mrs. Jane Smith,Mr. & Mrs. Smith,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
Troy Maxson,Fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
Napoleon Dynamite,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home."
Irving Rosenfeld,American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
Dominika Egorova,Red Sparrow,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both na..."
"Louisa ""Lou"" Clark",Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
Jeremy,Wedding Crashers,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
Rita Vrataski,Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
The Driver,Drive,"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor."
John Milton,The Devil's Advocate,An exceptionally-adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss--the biggest opportunity of his career to date.
Friday,What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one o..."
Eric Draven,The Crow,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
"Eddie Adams ""Dirk Diggler""",Boogie Nights,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
Billy Mack,Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Frank T.J. Mackey,Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
Officer Jim Kuring,Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
Cher Horowitz,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
"Lancaster Dodd ""The Master""",The Master,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.
Barry Egan,Punch-Drunk Love,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.
Oh Dae-su,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Reynolds Woodcock,Phantom Thread,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
Daniel Plainview,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Michael Sullivan,Road to Perdition,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Briony Tallis,Atonement,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
Maleficent,Maleficent,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
Samantha Kingston,Before I Fall,"February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing."
Jerry Maguire,Jerry Maguire,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
Gustave H.,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Prot,K-PAX,"PROT is a patient at a mental hospital who claims to be from a faraway planet named K-PAX. His psychiatrist tries to help him, only to begin to doubt his own explanations."
Corey Mason,Empire Records,Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.
Dominik Santorski,Suicide Room,"After suffering extreme humiliation at school, Dominik holes himself up in his room and begins spending all his time in a virtual reality chat room."
Therese Belivet,Carol,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.
Elio Perlman,Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Simon Spier,"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity."
Rosie Dunne,"Love, Rosie","Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies."
Alma Peregrine,Miss Peregrine's Home for Peculiar Children,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special ..."
Clary Fray,The Mortal Instruments: City of Bones,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
Ichabod Crane,Sleepy Hollow,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman."
Peter Highman,Due Date,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.
Harper Moore,Set It Up,Two corporate executive assistants hatch a plan to match-make their two bosses.
Liesel Meminger,The Book Thief,"While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents."
The Mask,The Mask,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
Kong,Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
Ricky Baker,Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
Mr. Pink,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Marianne Dashwood,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
Jack Twist,Brokeback Mountain,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
Will Dormer,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.
Capt. Joseph J. Blocker,Hostiles,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
Malorie Hayes,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety."
Max Davis,Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
Dave Lizewski,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
Maggie Murdock,Love & Other Drugs,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease."
Graham Simpkins,The Holiday,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Adam,Enemy,A man seeks out his exact look-alike after spotting him in a movie.
Jenko,21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
Evan Treborn,The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
Kale Brecht,Disturbia,A teen living under house arrest becomes convinced his neighbor is a serial killer.
Wendy Christensen,Final Destination 3,"Six years after students cheated death, another teen has a premonition she and her friends will be involved in an accident. When the vision proves true, the student and survivors deal with the repercussions of cheating the Grim Re..."
Kimberly Corman,Final Destination 2,"Kimberly has a premonition of an accident killing multiple people including her and her friends. She blocks the cars behind her on the ramp and as a police trooper arrives, the accident happens. Death is stalking this group of sur..."
Kevin Khatchadourian,We Need to Talk About Kevin,"Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined."
Marty,The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
"Randall ""Pink"" Floyd",Dazed and Confused,The adventures of high school and junior high students on the last day of school in May 1976.
Danielle,The Girl Next Door,A teenager's dreams come true when a former porn star moves in next door and they fall in love.
Willy Wonka,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
Tiffany Maxwell,Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her ..."
David Aames,Vanilla Sky,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
Ryan Stone,Gravity,Two astronauts work together to survive after an accident leaves them stranded in space.
Mandy,Mandy,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance."
King Baldwin,Kingdom of Heaven,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
Fogell (McLovin),Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Zoey Davis,Escape Room,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.
Llewyn Davis,Inside Llewyn Davis,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.
Theo,Children of Men,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Lady Izumi Hideko,The Handmaiden,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Henry Carpenter,The Book of Henry,"With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather."
Isabelle,The Dreamers,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
